ID	GENE PRODUCT ID	GO EVIDENCE CODE	REFERENCE	TAXON ID
GO:0030318	https://identifiers.org/uniprot:Q9H255	IMP	PMID:27226631	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0030318	https://identifiers.org/uniprot:Q9H2I8	IMP	PMID:23395477	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0035646	https://identifiers.org/uniprot:Q9UL45	IDA	PMID:17182842	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0045064	https://identifiers.org/uniprot:O00255	IDA	PMID:20484083	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0045064	https://identifiers.org/uniprot:O35284	IMP	PMID:20421391	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0045064	https://identifiers.org/uniprot:O35284	IMP	PMID:21572431	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0072539	https://identifiers.org/uniprot:O35284	IMP	PMID:20421391	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0072539	https://identifiers.org/uniprot:O35284	IMP	PMID:21572431	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0072540	https://identifiers.org/uniprot:O35284	IMP	PMID:19578362	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0072540	https://identifiers.org/uniprot:O35284	IMP	PMID:22983707	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0061470	https://identifiers.org/uniprot:O35885	IMP	PMID:24463518	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002302	https://identifiers.org/uniprot:O54839	IDA	PMID:14605368	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002291	https://identifiers.org/uniprot:O54885	IDA	PMID:16715077	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0061470	https://identifiers.org/uniprot:O75144	IDA	PMID:24411167	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002302	https://identifiers.org/uniprot:O95936	IMP	PMID:17566017	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002291	https://identifiers.org/uniprot:P05362	IMP	PMID:2477710	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0061470	https://identifiers.org/uniprot:P08505	IMP	PMID:23045607	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0072540	https://identifiers.org/uniprot:P08505	IMP	PMID:16990136	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0072540	https://identifiers.org/uniprot:P08505	IDA	PMID:27893700	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0045063	https://identifiers.org/uniprot:P09429	IMP	PMID:15944249	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002286	https://identifiers.org/uniprot:P0DSE1	IDA	PMID:27036003	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002286	https://identifiers.org/uniprot:P0DSE2	IDA	PMID:27036003	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0045064	https://identifiers.org/uniprot:P10242	IMP	PMID:20484083	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002286	https://identifiers.org/uniprot:P12025	IMP	PMID:28183532	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002286	https://identifiers.org/uniprot:P13796	IDA	PMID:17294403	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002296	https://identifiers.org/uniprot:P16150	IDA	PMID:18036228	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002291	https://identifiers.org/uniprot:P20701	IMP	PMID:2477710	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0072540	https://identifiers.org/uniprot:P22272	IDA	PMID:27893700	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0045064	https://identifiers.org/uniprot:P23771	IDA	PMID:20484083	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0045063	https://identifiers.org/uniprot:P27782	IDA	PMID:18579517	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0061470	https://identifiers.org/uniprot:P27986	IDA	PMID:30523347	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002286	https://identifiers.org/uniprot:P29017	IDA	PMID:21167756	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0042093	https://identifiers.org/uniprot:P29460	IDA	PMID:1673147	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0042093	https://identifiers.org/uniprot:P32240	IDA	PMID:19465928	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0072540	https://identifiers.org/uniprot:P42227	IMP	PMID:28065600	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0072539	https://identifiers.org/uniprot:P51448	IMP	PMID:18164222	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0072539	https://identifiers.org/uniprot:P51450	IMP	PMID:20383124	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002286	https://identifiers.org/uniprot:P55086	IDA	PMID:19845798	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0061470	https://identifiers.org/uniprot:P58462	IDA	PMID:24859450	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002291	https://identifiers.org/uniprot:P70206	IDA	PMID:16715077	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0045064	https://identifiers.org/uniprot:Q03164	IDA	PMID:20484083	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0045063	https://identifiers.org/uniprot:Q14765	IDA	PMID:14688310	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0072539	https://identifiers.org/uniprot:Q3TCT4	IMP	PMID:23241884	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0061470	https://identifiers.org/uniprot:Q3U6B2	IMP	PMID:27147029	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0045063	https://identifiers.org/uniprot:Q3UP38-2	IMP	PMID:29987160	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0042093	https://identifiers.org/uniprot:Q504M2	IMP	PMID:30150402	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002292	https://identifiers.org/uniprot:Q62178	IMP	PMID:15780988	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0045063	https://identifiers.org/uniprot:Q62178	IMP	PMID:15780988	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0072540	https://identifiers.org/uniprot:Q64287	IMP	PMID:22983707	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002291	https://identifiers.org/uniprot:Q76KF0	IDA	PMID:16715077	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002309	https://identifiers.org/uniprot:Q7TS55	IDA	PMID:14608036	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002309	https://identifiers.org/uniprot:Q8NHL6	IDA	PMID:18094328	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0045063	https://identifiers.org/uniprot:Q91X86	IDA	PMID:25946230	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0072540	https://identifiers.org/uniprot:Q96DU3	IDA	PMID:22184727	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002291	https://identifiers.org/uniprot:Q99NH8	IDA	PMID:16715077	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0061470	https://identifiers.org/uniprot:Q9ES17	IMP	PMID:23045607	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0045063	https://identifiers.org/uniprot:Q9EST8	IMP	PMID:31182790	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0072539	https://identifiers.org/uniprot:Q9EST8	IMP	PMID:20383124	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0072540	https://identifiers.org/uniprot:Q9HBG7	IDA	PMID:22184727	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002296	https://identifiers.org/uniprot:Q9JKD8	IDA	PMID:10761931	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002296	https://identifiers.org/uniprot:Q9JLN9	IMP	PMID:26410627	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0002286	https://identifiers.org/uniprot:Q9QZ05	IMP	PMID:24310610	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0061470	https://identifiers.org/uniprot:Q9UHD2	IDA	PMID:27135603	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0061470	https://identifiers.org/uniprot:Q9Y6W8	IDA	PMID:27135603	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0002309	https://identifiers.org/uniprot:Q9Z0I6	IMP	PMID:20190759	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0016446	https://identifiers.org/uniprot:O60318	IDA	PMID:23652018	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0016446	https://identifiers.org/uniprot:P54279	IMP	PMID:9618520	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0016446	https://identifiers.org/uniprot:Q60710	IMP	PMID:29669924	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0016446	https://identifiers.org/uniprot:Q8CGS6	IMP	PMID:16172387	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0016446	https://identifiers.org/uniprot:Q8CGS6	IMP	PMID:16222339	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0016446	https://identifiers.org/uniprot:Q8CGS6	IMP	PMID:16890500	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0016446	https://identifiers.org/uniprot:Q8R1M0	IDA	PMID:35450882	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0016446	https://identifiers.org/uniprot:Q96FZ2	IDA	PMID:35450882	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0016446	https://identifiers.org/uniprot:Q9GZX7	IMP	PMID:21518874	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0060844	https://identifiers.org/uniprot:P31266	IMP	PMID:15466160	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0097101	https://identifiers.org/uniprot:P31266	IGI	PMID:15466160	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060842	https://identifiers.org/uniprot:Q01705	IMP	PMID:15107403	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060843	https://identifiers.org/uniprot:Q01705	IMP	PMID:20890042	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060853	https://identifiers.org/uniprot:Q61483	IMP	PMID:19144989	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0097102	https://identifiers.org/uniprot:Q61483	IMP	PMID:22282195	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060842	https://identifiers.org/uniprot:Q9QUS4	IGI	PMID:15107403	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060842	https://identifiers.org/uniprot:Q9WV93	IGI	PMID:15107403	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060117	https://identifiers.org/uniprot:A1Y9I9	IMP	PMID:18794526	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060088	https://identifiers.org/uniprot:B2RVW2	IMP	PMID:33496845	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060117	https://identifiers.org/uniprot:P63005	IMP	PMID:23533177	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060117	https://identifiers.org/uniprot:P97414	IMP	PMID:26084842	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060088	https://identifiers.org/uniprot:Q1EG27	IMP	PMID:26754646	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060088	https://identifiers.org/uniprot:Q1EG27	IGI	PMID:26754646	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060088	https://identifiers.org/uniprot:Q3V0K9	IMP	PMID:25124451	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0060088	https://identifiers.org/uniprot:Q80U16	IMP	PMID:27269051	http://purl.obolibrary.org/obo/NCBITaxon_10090
