ID	GENE PRODUCT ID	GO EVIDENCE CODE	REFERENCE	TAXON ID
GO:0042582	https://identifiers.org/uniprot:O00161	IDA	PMID:18588921	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0031091	https://identifiers.org/uniprot:O00186	IDA	PMID:12773094	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0042581	https://identifiers.org/uniprot:O00186	IDA	PMID:18588921	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0070820	https://identifiers.org/uniprot:O00186	IDA	PMID:18588921	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0043159	https://identifiers.org/uniprot:O08749	IDA	PMID:15888450	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0097208	https://identifiers.org/uniprot:O09043	IDA	PMID:14766755	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0030141	https://identifiers.org/uniprot:O09049	IDA	PMID:16931762	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0030141	https://identifiers.org/uniprot:O09117	IDA	PMID:8707851	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0042582	https://identifiers.org/uniprot:O15400	IDA	PMID:20170677	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0070820	https://identifiers.org/uniprot:O15400	IDA	PMID:20170677	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0031088	https://identifiers.org/uniprot:O15439	IDA	PMID:15297306	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0001669	https://identifiers.org/uniprot:O35427	IDA	PMID:10067875	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001669	https://identifiers.org/uniprot:O35526	EXP	PMID:16540102	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0034774	https://identifiers.org/uniprot:O35684	IDA	PMID:17040209	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001669	https://identifiers.org/uniprot:O35723	IDA	PMID:11466217	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001669	https://identifiers.org/uniprot:O54863	IDA	PMID:18495105	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001669	https://identifiers.org/uniprot:O70145	IDA	PMID:15850784	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0030141	https://identifiers.org/uniprot:O70404	IDA	PMID:18321981	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0042588	https://identifiers.org/uniprot:O70404	IDA	PMID:18535671	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001669	https://identifiers.org/uniprot:O75145	IDA	PMID:23124857	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0030141	https://identifiers.org/uniprot:O76024	IDA	PMID:23035048	http://purl.obolibrary.org/obo/NCBITaxon_9606
GO:0031091	https://identifiers.org/uniprot:O88783	IDA	PMID:12816857	http://purl.obolibrary.org/obo/NCBITaxon_10090
GO:0001669	https://identifiers.org/uniprot:O88987	IDA	PMID:11278869	http://purl.obolibrary.org/obo/NCBITaxon_10090
