cluster_id_label,supertype_id_label,subclass_id_label,cluster_markers_combo,cluster_markers_combo_(within_subclass),clusterName,marker_1,f_score_1,marker_2,f_score_2,marker_3,f_score_3,cxg_dataset_title
0001 CLA-EPd-CTX Car3 Glut_1,0001 CLA-EPd-CTX Car3 Glut_1,001 CLA-EPd-CTX Car3 Glut,"['Car3', 'Satb2', 'Lgr5']",['Lgr5'],0001 CLA-EPd-CTX Car3 Glut_1,Lgr5,0.5555555555555556,,,,,WMB_abc_atlas_access
0002 CLA-EPd-CTX Car3 Glut_1,0001 CLA-EPd-CTX Car3 Glut_1,001 CLA-EPd-CTX Car3 Glut,"['Car3', 'Slc17a7', '4930407I19Rik']",['4930407I19Rik'],0002 CLA-EPd-CTX Car3 Glut_1,4930407I19Rik,0.4347826086956521,,,,,WMB_abc_atlas_access
0003 CLA-EPd-CTX Car3 Glut_1,0001 CLA-EPd-CTX Car3 Glut_1,001 CLA-EPd-CTX Car3 Glut,"['Car3', 'Satb2', 'Ccbe1']",['Ccbe1'],0003 CLA-EPd-CTX Car3 Glut_1,Ccbe1,0.4268292682926829,,,,,WMB_abc_atlas_access
0004 CLA-EPd-CTX Car3 Glut_1,0001 CLA-EPd-CTX Car3 Glut_1,001 CLA-EPd-CTX Car3 Glut,"['Car3', 'Rxfp1', 'Tspan11']",['Tspan11'],0004 CLA-EPd-CTX Car3 Glut_1,Tspan11,0.6578947368421052,,,,,WMB_abc_atlas_access
0005 CLA-EPd-CTX Car3 Glut_2,0002 CLA-EPd-CTX Car3 Glut_2,001 CLA-EPd-CTX Car3 Glut,"['Ccnb1', 'Gtf2a1l', 'Egr2']",['Egr2'],0005 CLA-EPd-CTX Car3 Glut_2,Egr2,0.5172413793103449,,,,,WMB_abc_atlas_access
0006 IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,002 IT EP-CLA Glut,"['Alkal1', 'C1ql3', 'Tpbgl', 'Grin2b']","['Alkal1', 'Plpp4']",0006 IT EP-CLA Glut_1,Alkal1,0.49999999999999994,,,,,WMB_abc_atlas_access
0007 IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,002 IT EP-CLA Glut,"['Tll2', 'Slc17a7', 'Scube2', 'Npsr1']","['Scube2', 'Chrdl1']",0007 IT EP-CLA Glut_1,Chrdl1,0.31609195402298845,,,,,WMB_abc_atlas_access
0008 IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,002 IT EP-CLA Glut,"['Lipg', 'Satb2', 'Spag16', 'Tpbg']","['Lipg', 'Serinc2', 'Csrnp1', 'Klf5']",0008 IT EP-CLA Glut_1,Lipg,0.33755274261603374,,,,,WMB_abc_atlas_access
0009 IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,002 IT EP-CLA Glut,"['Cwh43', 'Npsr1', 'Ccnb1', 'Col19a1']","['Rnf152', 'Tll2', 'Rorb']",0009 IT EP-CLA Glut_1,Rnf152,0.2142857142857143,,,,,WMB_abc_atlas_access
0010 IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,002 IT EP-CLA Glut,"['Osr1', 'Lcp1', 'Lepr', 'Vwc2l']",['Lepr'],0010 IT EP-CLA Glut_1,Lepr,0.4716981132075473,,,,,WMB_abc_atlas_access
0011 IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,002 IT EP-CLA Glut,"['Osr1', 'Satb2', 'Zfhx4', 'Lpl']","['Zfhx4', 'Lpl']",0011 IT EP-CLA Glut_1,Zfhx4,0.396039603960396,,,,,WMB_abc_atlas_access
0012 IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,002 IT EP-CLA Glut,"['Osr1', 'Rab38', 'Serpina3n']","['Ctsc', 'Rab38']",0012 IT EP-CLA Glut_1,Ctsc,0.5633802816901409,,,,,WMB_abc_atlas_access
0013 IT EP-CLA Glut_2,0004 IT EP-CLA Glut_2,002 IT EP-CLA Glut,"['Txk', 'Sfrp2']","['Tacstd2', 'Sfrp2']",0013 IT EP-CLA Glut_2,Tacstd2,0.4320987654320988,,,,,WMB_abc_atlas_access
0014 IT EP-CLA Glut_2,0004 IT EP-CLA Glut_2,002 IT EP-CLA Glut,"['1700023F02Rik', 'Rab38', 'Chst9', 'Vmn2r87']","['Rab38', 'Zfp503']",0014 IT EP-CLA Glut_2,Zfp503,0.3688524590163934,,,,,WMB_abc_atlas_access
0015 IT EP-CLA Glut_2,0004 IT EP-CLA Glut_2,002 IT EP-CLA Glut,"['Osr1', 'Onecut1', 'Egr2']","['Onecut1', 'Egr2']",0015 IT EP-CLA Glut_2,Egr2,0.2027027027027027,,,,,WMB_abc_atlas_access
0016 IT EP-CLA Glut_2,0004 IT EP-CLA Glut_2,002 IT EP-CLA Glut,"['Adgrd1', 'Npsr1', 'Egr2', 'Rorb']","['Pim1', 'Rorb', 'Bcl11b']",0016 IT EP-CLA Glut_2,Pim1,0.21164021164021166,,,,,WMB_abc_atlas_access
0017 IT EP-CLA Glut_2,0004 IT EP-CLA Glut_2,002 IT EP-CLA Glut,"['Osr1', 'Npsr1', 'Rcan3', 'Tpbgl']","['Tacr3', 'Tpbgl']",0017 IT EP-CLA Glut_2,Tacr3,0.47297297297297297,,,,,WMB_abc_atlas_access
0018 IT EP-CLA Glut_3,0005 IT EP-CLA Glut_3,002 IT EP-CLA Glut,"['Lamc2', 'Col14a1', 'Olfm4', 'Zan']","['Ebf1', 'Zan']",0018 IT EP-CLA Glut_3,Ebf1,0.5494505494505495,,,,,WMB_abc_atlas_access
0019 IT EP-CLA Glut_3,0005 IT EP-CLA Glut_3,002 IT EP-CLA Glut,"['Bace2', 'Rxfp1', 'Krt17', 'Pparg']","['Shisal2b', 'Pparg']",0019 IT EP-CLA Glut_3,Shisal2b,0.46992481203007525,,,,,WMB_abc_atlas_access
0020 IT EP-CLA Glut_3,0005 IT EP-CLA Glut_3,002 IT EP-CLA Glut,"['A830029E22Rik', 'Col14a1', 'Egr2']","['Cenpf', 'Egr2']",0020 IT EP-CLA Glut_3,Cenpf,0.42792792792792794,,,,,WMB_abc_atlas_access
0021 IT EP-CLA Glut_4,0006 IT EP-CLA Glut_4,002 IT EP-CLA Glut,"['Blnk', 'Igf1', 'Medag', 'Ntn4']",['Ntn4'],0021 IT EP-CLA Glut_4,Ntn4,0.5263157894736842,,,,,WMB_abc_atlas_access
0022 IT EP-CLA Glut_4,0006 IT EP-CLA Glut_4,002 IT EP-CLA Glut,"['Gm40518', 'Adamts4', 'Npsr1']",['Gm40518'],0022 IT EP-CLA Glut_4,Gm40518,0.46703296703296704,,,,,WMB_abc_atlas_access
0023 L5/6 IT TPE-ENT Glut_1,0007 L5/6 IT TPE-ENT Glut_1,003 L5/6 IT TPE-ENT Glut,"['Gm39822', 'Trdn', 'Inhbb', 'Tmem40']",['Ndst4'],0023 L5/6 IT TPE-ENT Glut_1,Ndst4,0.2027027027027027,,,,,WMB_abc_atlas_access
0024 L5/6 IT TPE-ENT Glut_1,0007 L5/6 IT TPE-ENT Glut_1,003 L5/6 IT TPE-ENT Glut,"['Ighg2c', 'Dcn', 'Satb2']",['Clrn1'],0024 L5/6 IT TPE-ENT Glut_1,Clrn1,0.35714285714285715,,,,,WMB_abc_atlas_access
0025 L5/6 IT TPE-ENT Glut_1,0007 L5/6 IT TPE-ENT Glut_1,003 L5/6 IT TPE-ENT Glut,"['Dcn', 'Dkkl1', '5830418P13Rik']",['Sfrp1'],0025 L5/6 IT TPE-ENT Glut_1,Sfrp1,0.7142857142857143,,,,,WMB_abc_atlas_access
